epoch,avg_train_loss,val_loss,model
34,0.00000995,0.00000637,Transformer
35,0.00000864,0.00001186,Transformer
36,0.00001133,0.00000481,Transformer
37,0.00000852,0.00000963,Transformer
38,0.00000798,0.00000601,Transformer
39,0.00001185,0.00000281,Transformer
40,0.00000891,0.00000410,Transformer
41,0.00000859,0.00000979,Transformer
42,0.00003731,0.00001052,Transformer
43,0.00000701,0.00000523,Transformer
44,0.00000814,0.00000909,Transformer
45,0.00000831,0.00000344,Transformer
46,0.00000921,0.00001511,Transformer
47,0.00000839,0.00000466,Transformer
48,0.00001110,0.00000800,Transformer
49,0.00000613,0.00000124,Transformer
50,0.00004010,0.00000495,Transformer
51,0.00001047,0.00000143,Transformer
52,0.00001000,0.00000461,Transformer
53,0.00004060,0.00000728,Transformer
54,0.00004499,0.00000824,Transformer
55,0.00000795,0.00001160,Transformer
56,0.00000485,0.00001856,Transformer
57,0.00000706,0.00000402,Transformer
58,0.00000758,0.00000830,Transformer
59,0.00000504,0.00000451,Transformer
60,0.00004296,0.00000360,Transformer
61,0.00000466,0.00000451,Transformer
62,0.00000681,0.00000179,Transformer
63,0.00000700,0.00000992,Transformer
64,0.00000635,0.00000719,Transformer
65,0.00000580,0.00000529,Transformer
66,0.00000533,0.00001024,Transformer
67,0.00000550,0.00000436,Transformer
68,0.00000644,0.00000131,Transformer
69,0.00000723,0.00000235,Transformer
70,0.00000554,0.00000584,Transformer
71,0.00000404,0.00000531,Transformer
72,0.00000570,0.00000661,Transformer
73,0.00000665,0.00000522,Transformer
74,0.00000644,0.00000599,Transformer
75,0.00000662,0.00000523,Transformer
76,0.00000459,0.00000190,Transformer
77,0.00000328,0.00001308,Transformer
78,0.00000511,0.00000339,Transformer
79,0.00000822,0.00000499,Transformer
80,0.00000790,0.00000752,Transformer
81,0.00000773,0.00000216,Transformer
82,0.00000880,0.00000200,Transformer
83,0.00000769,0.00000861,Transformer
84,0.00000865,0.00000426,Transformer
85,0.00000897,0.00000299,Transformer
86,0.00000882,0.00000459,Transformer
87,0.00000906,0.00000519,Transformer
88,0.00000844,0.00000412,Transformer
89,0.00000898,0.00000671,Transformer
90,0.00000938,0.00000481,Transformer
91,0.00000721,0.00000541,Transformer
92,0.00000909,0.00000257,Transformer
93,0.00000878,0.00000328,Transformer
94,0.00000906,0.00000996,Transformer
95,0.00000926,0.00000488,Transformer
96,0.00000841,0.00000171,Transformer
97,0.00000715,0.00000699,Transformer
98,0.00000900,0.00000223,Transformer
99,0.00000773,0.00000190,Transformer
0,0.00035902,0.00001559,iTransformer
1,0.00017479,0.00001448,iTransformer
2,0.00015266,0.00000349,iTransformer
3,0.00010143,0.00001018,iTransformer
4,0.00011500,0.00001229,iTransformer
5,0.00007103,0.00000359,iTransformer
6,0.00006433,0.00000268,iTransformer
7,0.00006382,0.00001731,iTransformer
8,0.00004084,0.00000148,iTransformer
9,0.00003748,0.00000197,iTransformer
10,0.00005286,0.00001227,iTransformer
11,0.00003971,0.00000787,iTransformer
12,0.00003424,0.00000336,iTransformer
13,0.00003757,0.00000137,iTransformer
14,0.00005368,0.00000136,iTransformer
15,0.00002993,0.00001151,iTransformer
16,0.00002333,0.00000132,iTransformer
17,0.00004276,0.00000575,iTransformer
18,0.00003265,0.00000112,iTransformer
19,0.00002055,0.00000935,iTransformer
20,0.00002168,0.00000237,iTransformer
21,0.00005604,0.00000102,iTransformer
22,0.00002583,0.00000277,iTransformer
23,0.00001966,0.00000652,iTransformer
24,0.00001426,0.00000089,iTransformer
25,0.00001947,0.00000217,iTransformer
26,0.00001494,0.00000319,iTransformer
27,0.00006151,0.00000180,iTransformer
28,0.00002047,0.00000154,iTransformer
29,0.00001566,0.00000139,iTransformer
30,0.00001777,0.00000107,iTransformer
31,0.00003737,0.00000516,iTransformer
32,0.00001400,0.00000666,iTransformer
33,0.00001768,0.00000147,iTransformer
34,0.00001869,0.00000081,iTransformer
35,0.00001225,0.00000130,iTransformer
36,0.00001565,0.00000125,iTransformer
37,0.00004139,0.00000095,iTransformer
38,0.00004797,0.00000412,iTransformer
39,0.00005068,0.00000321,iTransformer
40,0.00001797,0.00000109,iTransformer
41,0.00001019,0.00000069,iTransformer
42,0.00004870,0.00000162,iTransformer
43,0.00001921,0.00000523,iTransformer
44,0.00002433,0.00000127,iTransformer
45,0.00001080,0.00000498,iTransformer
46,0.00001256,0.00001134,iTransformer
47,0.00001042,0.00000307,iTransformer
48,0.00000796,0.00000810,iTransformer
49,0.00001739,0.00000146,iTransformer
50,0.00000931,0.00000115,iTransformer
51,0.00000773,0.00000241,iTransformer
52,0.00000861,0.00000323,iTransformer
53,0.00000713,0.00000124,iTransformer
54,0.00001489,0.00000267,iTransformer
55,0.00001081,0.00000544,iTransformer
56,0.00001249,0.00000412,iTransformer
57,0.00001041,0.00000077,iTransformer
58,0.00000764,0.00000068,iTransformer
59,0.00000756,0.00000182,iTransformer
60,0.00000742,0.00000531,iTransformer
61,0.00000963,0.00000112,iTransformer
62,0.00000598,0.00000291,iTransformer
63,0.00001090,0.00000114,iTransformer
64,0.00001370,0.00000083,iTransformer
65,0.00000908,0.00000120,iTransformer
66,0.00000867,0.00001505,iTransformer
67,0.00001023,0.00000104,iTransformer
68,0.00000641,0.00000077,iTransformer
69,0.00001037,0.00000066,iTransformer
70,0.00001170,0.00000515,iTransformer
71,0.00000903,0.00000063,iTransformer
72,0.00000937,0.00000108,iTransformer
73,0.00002817,0.00000226,iTransformer
74,0.00000610,0.00000093,iTransformer
75,0.00000586,0.00000570,iTransformer
76,0.00000631,0.00000678,iTransformer
77,0.00001002,0.00000324,iTransformer
78,0.00000684,0.00000114,iTransformer
79,0.00000603,0.00000234,iTransformer
80,0.00000596,0.00000118,iTransformer
81,0.00000635,0.00000115,iTransformer
82,0.00000932,0.00000065,iTransformer
83,0.00000597,0.00000174,iTransformer
84,0.00000661,0.00000145,iTransformer
85,0.00001588,0.00000526,iTransformer
86,0.00000611,0.00000266,iTransformer
87,0.00000651,0.00000120,iTransformer
88,0.00000646,0.00000282,iTransformer
89,0.00000665,0.00000328,iTransformer
90,0.00000705,0.00000202,iTransformer
91,0.00001219,0.00000188,iTransformer
92,0.00000594,0.00000117,iTransformer
93,0.00000579,0.00000069,iTransformer
94,0.00000538,0.00000072,iTransformer
95,0.00000499,0.00001004,iTransformer
96,0.00000668,0.00000083,iTransformer
97,0.00000534,0.00000121,iTransformer
98,0.00000571,0.00000097,iTransformer
99,0.00000583,0.00000171,iTransformer
100,0.00000550,0.00000065,iTransformer
101,0.00000428,0.00000180,iTransformer
