Date,12ema,20sd,26ema,Change,Close,FT 100 components,FT 27 components,FT 3 components,FT 6 components,FT 81 components,FT 9 components,High,Low,MACD,Open,PercentageChange,TurnoverRatio,Volatility,Volume,ema,lower_band,ma21,ma7,momentum,upper_band
2018-02-16,166.30285328693788,6.713445973851112,167.61621857523573,-0.56,172.43,173.06441393420775,167.0419679116542,215.8472860722378,126.31403734098633,165.92169276191188,194.63170278826888,174.82,171.77,-1.3133652882978595,172.36,-0.32,0.79,1.76,40176091,171.83453773815464,153.73691757610732,167.16380952380953,164.4857142857143,171.43,180.59070147151175
2018-02-20,167.15626047356284,6.3842027694703924,167.92983201410715,-0.58,171.85,172.7824701097961,167.32307024389695,215.7431172267298,126.45867997404639,165.62421606897476,194.98073096472837,174.26,171.42,-0.7735715405443102,172.05,-0.34,0.67,1.65,33930540,171.84484591271823,154.08064208010686,166.84904761904764,166.87142857142857,170.85,179.61745315798842
2018-02-21,167.75837424686085,5.984724502442501,168.16243705009924,-0.78,171.07,172.50032195474924,167.6074536331813,215.63899062124057,126.60385716874994,165.34394614691573,195.32888503973464,174.12,171.01,-0.4040628032383893,172.83,-0.45,0.74,1.81,37471623,171.3282819709061,154.59721766178166,166.56666666666666,168.96571428571428,170.07,178.53611567155167
2018-02-22,168.48785513195918,5.872340249143857,168.48373800935116,1.43,172.5,172.2192930700185,167.89506391624155,215.53490637664123,126.74956664188952,165.0816902503443,195.67615917829153,173.95,171.71,0.004117122608022328,171.8,0.84,0.61,1.31,30991940,172.10942732363537,154.60579569218845,166.35047619047617,170.3642857142857,171.5,178.0951566887639
2018-02-23,169.5666466501193,6.15054578251123,169.00346111976958,3.0,175.5,171.94070516731546,168.1858456565015,215.43086461351237,126.8958061072152,164.8382138762282,196.0225475724539,175.65,173.54,0.5631855303497275,173.67,1.74,0.67,1.22,33812360,174.36980910787847,154.1103370064061,166.41142857142856,171.95857142857145,174.5,178.71252013645102
2018-02-26,171.0133163962548,6.693279799574854,169.7417232590459,3.47,178.97,171.66587321530744,168.47974216107704,215.32686545214384,127.04257327545956,164.6142392980056,196.36804444141598,179.39,176.21,1.271593137208896,176.35,1.98,0.75,1.81,38162174,177.43660303595948,153.39915468656457,166.78571428571428,173.6157142857143,177.97,180.17227388486398
2018-02-27,172.148190796831,7.196375476704263,170.38233635096842,-0.58,178.39,171.39610061624182,168.77669549817676,215.22290901253456,127.18986585436339,164.41044420997247,196.71264403159978,180.48,178.16,1.7658544458625727,179.1,-0.32,0.77,1.3,38928125,178.0722010119865,152.72058237992482,167.11333333333334,174.38714285714286,177.39,181.50608428674187
2018-02-28,173.0669306742416,7.608245717407212,170.95549662126703,-0.27,178.12,171.13267443217887,169.07664651489407,215.11899541439246,127.33768154870066,164.22746048476898,197.0563406167423,180.62,178.05,2.111434052974573,179.26,-0.15,0.74,1.44,37782138,178.1040670039955,152.3806514223284,167.59714285714284,175.2,177.12,182.81363429195727
2018-03-01,173.36432595512753,7.7841168245696934,171.25508946413615,-3.12,175.0,170.87686067983748,169.3795348553866,215.01512477713405,127.48601806030389,164.06587304650628,197.39912849798222,179.78,172.66,2.1092364909913783,178.54,-1.75,0.96,4.0,48801970,176.03468900133183,152.4112901603844,167.97952380952378,175.65,174.0,183.54775745866317
2018-03-02,173.802121962031,7.996517186060965,171.62211987420014,1.21,176.21,170.62989971278833,169.68529897943804,214.91129721988457,127.63487308808958,163.9262188617724,197.74100200394605,176.3,172.45,2.1800020878308715,172.8,0.69,0.76,2.2,38453950,176.15156300044396,152.4045846754971,168.39761904761903,176.3842857142857,175.21,184.39065341974097
2018-03-05,174.26641089094932,7.977535878071156,172.00714803166682,0.61,176.82,170.39300170939805,169.99387618139653,214.8075128614776,127.78424432808336,163.80898605046028,198.08195549083362,177.74,174.52,2.259262859282501,175.21,0.35,0.56,1.83,28401366,176.59718766681465,152.87302348195294,168.82809523809524,177.00142857142856,175.82,184.78316699423755
2018-03-06,174.63619383080325,7.543835597891422,172.35254447376556,-0.15,176.67,170.16734228451492,170.30520260948427,214.70377182045502,127.93412947344565,163.7146131180521,198.4219833425027,178.25,176.13,2.283649357037689,177.91,-0.08,0.47,1.2,23788506,176.64572922227157,154.5104240423124,169.59809523809523,177.16857142857143,175.67,184.68576643387806
2018-03-07,174.69677939529507,7.415189442986597,172.5508745127459,-1.64,175.03,169.9540582424028,170.6192132854733,214.6000742150668,128.0845262144966,163.64348831068807,198.7610799705532,175.85,174.27,2.1459048825491607,174.94,-0.93,0.62,0.89,31703462,175.56857640742385,155.65057349497917,170.48095238095237,176.6057142857143,174.03,185.31133126692558
2018-03-08,175.04189025755736,7.028617648892547,172.87599491920918,1.91,176.94,169.75424348787897,170.9358421247218,214.49642016327067,128.23543223874188,163.59594909403435,199.0992398144107,177.12,175.07,2.1658953383481787,175.48,1.09,0.47,1.17,23774107,176.48285880247462,157.08609803554822,171.14333333333332,176.39857142857142,175.94,185.20056863111841
2018-03-09,175.80159944870238,6.075361371240481,173.40221751778628,3.04,179.98,169.56894511198624,171.25502195656435,214.3928097827323,128.3868452308976,163.57228175665435,199.43645734140884,180.0,177.39,2.3993819309160926,177.96,1.72,0.63,1.48,32185162,178.81428626749152,159.9659439241857,172.11666666666665,176.66428571428574,178.98,184.2673894091476
2018-03-12,176.71212261044047,4.983353843346677,174.0183495535058,1.74,181.72,169.39915966784116,171.57668454505225,214.2892431908248,128.53876287291627,163.57272113827017,199.77272704687203,182.39,180.21,2.693773056934674,180.29,0.97,0.63,1.21,32207081,180.75142875583052,163.41519707521144,173.3819047619048,177.6242857142857,180.72,183.34861244859815
2018-03-13,177.21333451652657,4.335696720748637,174.4592125495424,-1.75,179.97,169.2458296515495,171.90076061003535,214.1857205046288,128.6911828440117,163.59745048298922,200.1080434541965,183.5,179.24,2.7541219669841723,182.59,-0.96,0.62,2.34,31693529,180.23047625194351,165.83241608231222,174.5038095238095,178.16142857142856,178.97,183.1752029653068
2018-03-14,177.40205228321477,3.574675951687208,174.75408569402074,-1.53,178.44,169.10984020226402,172.22717984858235,214.0822418409322,128.84410282068478,163.64660141725471,200.4424011149311,180.52,177.81,2.647966589194027,180.32,-0.85,0.58,1.51,29368356,179.0368254173145,168.10350523948273,175.25285714285715,178.39285714285714,177.44,182.40220904623158
2018-03-15,177.59404423964327,3.02200155902119,175.0426719389081,0.21,178.65,168.99201603458985,172.55587095673073,213.97880731622985,128.9975204767486,163.72025405196737,200.77579460885755,180.24,178.07,2.5513723007351814,178.5,0.12,0.45,1.22,22743798,178.7789418057715,169.89028259624334,175.93428571428572,178.6757142857143,177.65,181.9782888323281
2018-03-16,177.65957589508278,2.9346019189534904,175.26321475824824,-0.63,178.02,168.89311861561703,172.88676165156227,213.87541704672364,129.15143348335408,163.8184372079135,201.1082185440697,179.12,177.62,2.3963611368345425,178.65,-0.35,0.78,0.84,39404688,178.27298060192382,170.57222473352158,176.44142857142856,179.10285714285715,177.02,182.31063240933554
2018-03-19,177.2965642189162,2.7856282956762755,175.26593959097062,-2.72,175.3,168.8138435978836,173.21977869359696,213.7720711483223,129.30583950901553,163.9411287633284,201.43966755705281,177.47,173.66,2.0306246279455706,177.32,-1.53,0.66,2.14,33446771,176.2909935339746,170.98017198007602,176.55142857142857,178.8685714285714,174.3,182.12268516278112
2018-03-20,176.98016972369834,2.565760583159053,175.26401813978765,-0.06,175.24,168.75481851854775,173.55484790949833,213.66876973664102,129.4607362196357,164.08825612211717,201.77013631276074,176.8,174.94,1.716151583910687,175.24,-0.03,0.39,1.06,19649350,175.59033117799154,171.55371692891998,176.68523809523808,178.19142857142856,174.24,181.81675926155617
2018-03-21,176.1016820738986,2.5420114293477782,174.96816494424783,-3.97,171.27,168.71660077398397,173.89189421508522,213.5655129270017,129.61612127853184,164.25969680095722,202.0996195046945,175.09,171.26,1.1335171296507554,175.04,-2.27,0.73,2.19,37054935,172.71011039266386,171.5735961889235,176.65761904761905,176.6985714285714,170.27,181.7416419063146
2018-03-22,174.98603867791417,2.9719840531534856,174.51496754097022,-2.42,168.85,168.69967587790893,174.2308416386423,213.46230083443228,129.77199234646056,164.45527913321078,202.428111854978,172.68,168.6,0.471071136943948,170.0,-1.41,0.82,2.38,41490767,170.13670346422128,170.6079366555978,176.55190476190478,175.11000000000004,167.85,182.49587286821176
2018-03-23,173.44049426592738,3.9752792356857656,173.80571068608353,-3.91,164.94,168.70445601000648,174.57161334452283,213.35913357366704,129.92834708164384,164.67478308728542,202.75560811443478,169.92,164.94,-0.36521642015614475,168.39,-2.32,0.81,2.95,41028784,166.67223448807377,168.24134629053324,176.19190476190477,173.18142857142857,163.94,184.1424632332763
2018-03-26,173.33734130193855,3.9917853480408403,173.72899137600325,7.83,172.77,168.73127886084913,174.91413165703764,213.25601125914628,130.08518313979417,164.91794119680168,203.08210306266315,173.1,166.44,-0.39165007406469954,168.07,4.75,0.74,4.04,37541236,170.7374114960246,168.0783340658231,176.06190476190477,172.34142857142857,171.77,184.04547545798644
2018-03-27,172.56851956317877,4.285763949782651,173.32980682963264,-4.43,168.34,168.7804067777184,175.25831808462283,213.15293400501594,130.2424981741402,165.18443959964657,203.40759150811098,175.15,166.92,-0.761287266453877,173.68,-2.56,0.81,4.76,40922579,169.13913716534154,166.984186386149,175.5557142857143,170.95857142857145,167.34,184.12724218527958
2018-03-28,171.63182424576664,4.671904379158007,172.82241373114135,-1.86,166.48,168.8520262147095,175.60409334427933,213.0499019251279,130.40028983545227,165.47391918272913,203.73206828814983,170.02,165.19,-1.1905894853747157,167.25,-1.1,0.82,2.87,41668545,167.36637905511384,165.64476267025543,174.98857142857145,169.69857142857146,165.48,184.33238018688746
2018-03-29,171.0392359002641,4.930053805791292,172.44890160290868,1.3,167.78,168.94624748927416,175.9513773862779,212.94691513303954,130.5585557720679,165.78597682899235,204.0555282691481,171.75,166.9,-1.4096657026445882,167.81,0.78,0.76,2.91,38398505,167.6421263517046,164.6360828646079,174.4961904761905,168.63285714285715,166.78,184.35629808777307
2018-04-02,170.36858422330036,5.205956583477406,172.02157555824874,-1.1,166.68,169.06310484611157,176.3000894191222,212.84397374201347,130.7172936299173,166.12016676298853,204.377966346544,168.94,164.47,-1.652991334948382,167.88,-0.66,0.76,2.66,37445578,167.00070878390156,163.68808683304522,174.10000000000002,167.97714285714287,165.68,184.51191316695483
2018-04-03,170.0641866504849,5.305465999831612,171.7525699613414,1.71,168.39,169.2025568280674,176.65014793476234,212.7410778650178,130.87650105254892,166.47600199108354,204.6993774449173,168.75,164.88,-1.6883833108564943,167.64,1.03,0.61,2.32,30278046,167.92690292796718,163.11668704795582,173.72761904761904,167.9114285714286,167.39,184.33855104728227
