Date,Open,Close,High,Low,Volume,Volatility,PercentageChange,Change,TurnoverRatio
2022-08-16,1923.94,1917.84,1933.79,1916.0,14836,0.93,-0.11,-2.05,0.12
2022-08-17,1930.0,1918.0,1930.0,1895.0,18361,1.82,0.01,0.16,0.15
2022-08-18,1908.0,1895.5,1913.08,1881.07,23168,1.67,-1.17,-22.5,0.18
2022-08-19,1898.0,1895.01,1908.35,1888.0,13544,1.07,-0.03,-0.49,0.11
2022-08-22,1885.01,1893.98,1907.0,1881.38,15427,1.35,-0.05,-1.03,0.12
2022-08-23,1898.6,1870.01,1898.6,1867.0,23756,1.67,-1.27,-23.97,0.19
2022-08-24,1869.99,1854.2,1875.23,1851.0,18728,1.3,-0.85,-15.81,0.15
2022-08-25,1859.0,1885.0,1888.0,1854.2,21925,1.82,1.66,30.8,0.17
2022-08-26,1900.0,1898.0,1912.0,1886.0,23142,1.38,0.69,13.0,0.18
2022-08-29,1883.0,1878.82,1899.97,1874.0,13570,1.37,-1.01,-19.18,0.11
2022-08-30,1882.35,1870.0,1885.0,1854.2,18235,1.64,-0.47,-8.82,0.15
2022-08-31,1860.1,1924.0,1925.56,1860.01,44692,3.51,2.89,54.0,0.36
2022-09-01,1912.15,1880.89,1916.0,1880.89,26845,1.82,-2.24,-43.11,0.21
2022-09-02,1889.94,1875.0,1892.96,1866.17,19391,1.42,-0.31,-5.89,0.15
2022-09-05,1862.64,1835.0,1869.0,1820.0,36822,2.61,-2.13,-40.0,0.29
2022-09-06,1835.36,1845.0,1848.2,1825.0,20830,1.26,0.54,10.0,0.17
2022-09-07,1835.03,1818.01,1837.66,1811.01,28306,1.44,-1.46,-26.99,0.23
2022-09-08,1820.0,1815.0,1832.0,1815.0,16591,0.94,-0.17,-3.01,0.13
2022-09-09,1825.0,1844.79,1852.0,1816.0,27090,1.98,1.64,29.79,0.22
2022-09-13,1880.0,1879.0,1888.38,1858.23,28693,1.63,1.85,34.21,0.23
2022-09-14,1864.01,1869.0,1880.0,1863.0,16042,0.9,-0.53,-10.0,0.13
2022-09-15,1870.0,1880.0,1893.12,1869.96,20810,1.24,0.59,11.0,0.17
2022-09-16,1871.8,1859.0,1885.6,1855.11,24121,1.62,-1.12,-21.0,0.19
2022-09-19,1855.0,1871.64,1888.59,1852.88,18584,1.92,0.68,12.64,0.15
2022-09-20,1869.98,1878.0,1884.6,1858.55,14116,1.39,0.34,6.36,0.11
2022-09-21,1876.67,1848.0,1883.0,1848.0,20995,1.86,-1.6,-30.0,0.17
2022-09-22,1840.0,1820.81,1841.02,1816.85,22704,1.31,-1.47,-27.19,0.18
2022-09-23,1820.81,1834.43,1855.0,1820.81,28288,1.88,0.75,13.62,0.23
2022-09-26,1820.0,1863.0,1888.0,1819.98,35135,3.71,1.56,28.57,0.28
2022-09-27,1868.86,1888.0,1897.0,1851.11,28820,2.46,1.34,25.0,0.23
2022-09-28,1880.5,1883.0,1899.4,1874.01,21446,1.34,-0.26,-5.0,0.17
2022-09-29,1897.98,1880.35,1902.18,1871.13,21590,1.65,-0.14,-2.65,0.17
2022-09-30,1898.62,1872.5,1901.99,1866.0,21289,1.91,-0.42,-7.85,0.17
2022-10-10,1890.0,1786.0,1891.0,1780.2,48584,5.92,-4.62,-86.5,0.39
2022-10-11,1789.0,1779.99,1806.0,1760.0,32047,2.58,-0.34,-6.01,0.26
2022-10-12,1773.66,1760.0,1779.0,1708.0,48195,3.99,-1.12,-19.99,0.38
2022-10-13,1720.46,1699.99,1735.0,1697.0,63969,2.16,-3.41,-60.01,0.51
2022-10-14,1710.0,1737.61,1755.0,1701.94,46520,3.12,2.21,37.62,0.37
2022-10-17,1726.0,1718.5,1727.99,1697.8,33550,1.74,-1.1,-19.11,0.27
2022-10-18,1725.0,1705.83,1730.0,1701.0,28083,1.69,-0.74,-12.67,0.22
2022-10-19,1701.98,1648.0,1701.98,1648.0,60121,3.16,-3.39,-57.83,0.48
2022-10-20,1621.0,1643.5,1668.43,1611.0,42778,3.48,-0.27,-4.5,0.34
2022-10-21,1640.0,1624.0,1647.8,1610.0,38907,2.3,-1.19,-19.5,0.31
2022-10-24,1570.0,1501.28,1589.0,1488.01,132098,6.22,-7.56,-122.72,1.05
2022-10-25,1479.42,1479.75,1515.0,1472.0,81362,2.86,-1.43,-21.53,0.65
2022-10-26,1488.8,1464.08,1514.99,1460.0,81781,3.72,-1.06,-15.67,0.65
2022-10-27,1480.0,1401.0,1487.98,1383.85,107106,7.11,-4.31,-63.08,0.85
2022-10-28,1390.77,1360.0,1406.0,1358.71,93143,3.38,-2.93,-41.0,0.74
2022-10-31,1350.0,1350.0,1382.01,1333.0,71847,3.6,-0.74,-10.0,0.57
2022-11-01,1359.0,1462.01,1469.4,1359.0,118766,8.18,8.3,112.01,0.95
